experiment_number;exponent;avg_time_microseconds
875;1752;90222
876;1754;88678
877;1756;86900
878;1758;88091
879;1760;98129
880;1762;95571
881;1764;92435
882;1766;94067
883;1768;101641
884;1770;98586
885;1772;94506
886;1774;94810
887;1776;94799
888;1778;93348
889;1780;89231
890;1782;91559
891;1784;95215
892;1786;95815
893;1788;96221
894;1790;95550
895;1792;115535
896;1794;90400
897;1796;92876
898;1798;92724
899;1800;95307
900;1802;95952
901;1804;96589
902;1806;93995
903;1808;104681
904;1810;100326
905;1812;96117
906;1814;103553
907;1816;97311
908;1818;99629
909;1820;93636
910;1822;94064
911;1824;96883
912;1826;94694
913;1828;110856
914;1830;96436
915;1832;97936
916;1834;94541
917;1836;104269
918;1838;109722
919;1840;94946
920;1842;95051
921;1844;95340
922;1846;93790
923;1848;95861
924;1850;95291
925;1852;101107
926;1854;100714
927;1856;95530
928;1858;99651
929;1860;116355
930;1862;95628
931;1864;100570
932;1866;97295
933;1868;94696
934;1870;99461
935;1872;98983
936;1874;104627
937;1876;102042
938;1878;101460
939;1880;99832
940;1882;120139
941;1884;96892
942;1886;97578
943;1888;101979
944;1890;111771
945;1892;102833
946;1894;102459
947;1896;102490
948;1898;101448
949;1900;100709
950;1902;103342
951;1904;106202
952;1906;102484
953;1908;104517
954;1910;104182
955;1912;103603
956;1914;105177
957;1916;104723
958;1918;105205
959;1920;105138
960;1922;104000
961;1924;106562
962;1926;103110
963;1928;97807
964;1930;101477
965;1932;103190
966;1934;108171
967;1936;105625
968;1938;106223
969;1940;105967
970;1942;103140
971;1944;105843
972;1946;108913
973;1948;105566
974;1950;110117
975;1952;106861
976;1954;107319
977;1956;102624
978;1958;104723
979;1960;106431
980;1962;103079
981;1964;106456
982;1966;109153
983;1968;101619
984;1970;106092
985;1972;100936
986;1974;104454
987;1976;102706
988;1978;104762
989;1980;100819
990;1982;102327
991;1984;108110
992;1986;109708
993;1988;111600
994;1990;104269
995;1992;106651
996;1994;107484
997;1996;105431
998;1998;109090
999;2000;111938
1000;2002;111404
1001;2004;112088
1002;2006;111797
1003;2008;124254
1004;2010;111551
1005;2012;113201
1006;2014;115057
1007;2016;106467
1008;2018;110318
1009;2020;112507
1010;2022;107553
1011;2024;108916
1012;2026;112776
1013;2028;116888
1014;2030;114143
1015;2032;109182
1016;2034;109408
1017;2036;105174
1018;2038;106322
1019;2040;105207
1020;2042;106142
1021;2044;110181
1022;2046;120623
1023;2048;235561
